Abbreviation,DriverId,TeamName,Points,Round,Session
ANT,antonelli,Mercedes,0.0,8,Race
ALO,alonso,Aston Martin,0.0,8,Race
GAS,gasly,Alpine,0.0,8,Race
PIA,piastri,McLaren,25.0,9,Race
NOR,norris,McLaren,18.0,9,Race
LEC,leclerc,Ferrari,15.0,9,Race
RUS,russell,Mercedes,12.0,9,Race
HUL,hulkenberg,Kick Sauber,10.0,9,Race
HAM,hamilton,Ferrari,8.0,9,Race
HAD,hadjar,Racing Bulls,6.0,9,Race
GAS,gasly,Alpine,4.0,9,Race
ALO,alonso,Aston Martin,2.0,9,Race
VER,max_verstappen,Red Bull Racing,1.0,9,Race
LAW,lawson,Racing Bulls,0.0,9,Race
BOR,bortoleto,Kick Sauber,0.0,9,Race
TSU,tsunoda,Red Bull Racing,0.0,9,Race
SAI,sainz,Williams,0.0,9,Race
COL,colapinto,Alpine,0.0,9,Race
OCO,ocon,Haas F1 Team,0.0,9,Race
BEA,bearman,Haas F1 Team,0.0,9,Race
ANT,antonelli,Mercedes,0.0,9,Race
ALB,albon,Williams,0.0,9,Race
RUS,russell,Mercedes,25.0,10,Race
VER,max_verstappen,Red Bull Racing,18.0,10,Race
ANT,antonelli,Mercedes,15.0,10,Race
PIA,piastri,McLaren,12.0,10,Race
LEC,leclerc,Ferrari,10.0,10,Race
HAM,hamilton,Ferrari,8.0,10,Race
ALO,alonso,Aston Martin,6.0,10,Race
HUL,hulkenberg,Kick Sauber,4.0,10,Race
OCO,ocon,Haas F1 Team,2.0,10,Race
SAI,sainz,Williams,1.0,10,Race
BEA,bearman,Haas F1 Team,0.0,10,Race
TSU,tsunoda,Red Bull Racing,0.0,10,Race
COL,colapinto,Alpine,0.0,10,Race
BOR,bortoleto,Kick Sauber,0.0,10,Race
GAS,gasly,Alpine,0.0,10,Race
HAD,hadjar,Racing Bulls,0.0,10,Race
STR,stroll,Aston Martin,0.0,10,Race
NOR,norris,McLaren,0.0,10,Race
LAW,lawson,Racing Bulls,0.0,10,Race
ALB,albon,Williams,0.0,10,Race
NOR,norris,McLaren,25.0,11,Race
PIA,piastri,McLaren,18.0,11,Race
LEC,leclerc,Ferrari,15.0,11,Race
HAM,hamilton,Ferrari,12.0,11,Race
RUS,russell,Mercedes,10.0,11,Race
LAW,lawson,Racing Bulls,8.0,11,Race
ALO,alonso,Aston Martin,6.0,11,Race
BOR,bortoleto,Kick Sauber,4.0,11,Race
HUL,hulkenberg,Kick Sauber,2.0,11,Race
OCO,ocon,Haas F1 Team,1.0,11,Race
BEA,bearman,Haas F1 Team,0.0,11,Race
HAD,hadjar,Racing Bulls,0.0,11,Race
GAS,gasly,Alpine,0.0,11,Race
STR,stroll,Aston Martin,0.0,11,Race
COL,colapinto,Alpine,0.0,11,Race
TSU,tsunoda,Red Bull Racing,0.0,11,Race
ALB,albon,Williams,0.0,11,Race
VER,max_verstappen,Red Bull Racing,0.0,11,Race
ANT,antonelli,Mercedes,0.0,11,Race
SAI,sainz,Williams,0.0,11,Race
NOR,norris,McLaren,25.0,12,Race
PIA,piastri,McLaren,18.0,12,Race
HUL,hulkenberg,Kick Sauber,15.0,12,Race
HAM,hamilton,Ferrari,12.0,12,Race
VER,max_verstappen,Red Bull Racing,10.0,12,Race
GAS,gasly,Alpine,8.0,12,Race
